0.0,0.0,20.0,0.0,40.0,1.0,60.0,-0.5
1.0,0.1,20.5,0.2,41.0,1.3,61.0,-1.2
2.0,0.0,21.0,0.5,42.0,0.7,62.0,-2.1
3.0,0,22.0,0.7,43.0,-0.1,63.0,-3.2
4.0,0.0,23.0,0.8,44.0,-1.0,64.0,-4.5
5.0,0.1,24.0,0.7,45.0,-2.0,65.0,-5.9
6.0,0.1,25.0,0.1,46.0,-3.5,66.0,-7.4
7.0,0.1,26.0,-1.0,47.0,-3.7,67.0,-9.1
8.0,-0.2,27.0,-2.0,48.0,-4.5,68.0,-10.8
9.0,-0.9,28.0,-2.6,49.0,-5.1,69.0,-12.5
10.0,-1.4,29.0,-3.1,50.0,-5.7,70.0,-13.6
11.0,-1.7,30.0,-3.5,51.0,-6.3,71.0,-14.2
12.0,-1.9,31.0,-3.8,52.0,-6.3,72.0,-14.5
13.0,-2.1,32.0,-4.0,53.0,-5.5,73.0,-14.4
14.0,-2.2,33.0,-4.2,53.5,-5.1,74.0,-14.3
15.0,-2.4,34.0,-4.3,54.0,-4.6,74.5,-14.1
16.0,-2.5,34.5,-4.3,54.5,-3.9,75.0,-14.0
16.5,-2.6,35.0,-3.8,55.0,-3.4,75.5,-14.3
17.0,-2.7,35.5,-3.1,55.5,-2.9,76.0,-14.5
17.5,-2.7,36.0,-2.4,56.0,-2.4,77.0,-15.0
18.0,-2.3,36.5,-1.8,57.0,-1.4,78.0,-16.4
18.5,-1.7,37.0,-1.1,58.0,-0.5,79.0,-18.1
19.0,-1,38.0,-0.1,59.0,-0.5,80.0,-20.8
19.5,-0.5,39.0,0.5,0.0,0.0,0.0,0.0
