0,0,20,0,40,1,60,-0.5
1,0.1,20.5,0.2,41,1.3,61,-1.2
2,0,21,0.5,42,0.7,62,-2.1
3,0,22,0.7,43,-0.1,63,-3.2
4,0,23,0.8,44,-1,64,-4.5
5,0.1,24,0.7,45,-2,65,-5.9
6,0.1,25,0.1,46,-3.5,66,-7.4
7,0.1,26,-1,47,-3.7,67,-9.1
8,-0.2,27,-2,48,-4.5,68,-10.8
9,-0.9,28,-2.6,49,-5.1,69,-12.5
10,-1.4,29,-3.1,50,-5.7,70,-13.6
11,-1.7,30,-3.5,51,-6.3,71,-14.2
12,-1.9,31,-3.8,52,-6.3,72,-14.5
13,-2.1,32,-4,53,-5.5,73,-14.4
14,-2.2,33,-4.2,53.5,-5.1,74,-14.3
15,-2.4,34,-4.3,54,-4.6,74.5,-14.1
16,-2.5,34.5,-4.3,54.5,-3.9,75,-14
16.5,-2.6,35,-3.8,55,-3.4,75.5,-14.3
17,-2.7,35.5,-3.1,55.5,-2.9,76,-14.5
17.5,-2.7,36,-2.4,56,-2.4,77,-15
18,-2.3,36.5,-1.8,57,-1.4,78,-16.4
18.5,-1.7,37,-1.1,58,-0.5,79,-18.1
19,-1,38,-0.1,59,-0.5,80,-20.8
19.5,-0.5,39,0.5,0,0,0,0
